indice,vecteur
10,0.6286365 0.0018520735 0.00035616796 0.024219422 0.32546628 0.0035616797 0.0007835695 0.0032767453 0.36191416 0.010352615 0.035972964 0.3237567 0.20964046 0.043523725 0.002991811 0.0 0.010210148 0.041434206 0.064110234 0.12454007 0.31915024 0.21070898 0.21799853 0.0
11,0.7054912 0.0007933372 0.00017153236 0.01569521 0.23478492 0.0021441546 0.0007504541 0.0038380367 0.2594427 0.0121359145 0.03996704 0.28352156 0.304084 0.06076534 0.0036665043 8.576618e-05 0.020519558 0.054654498 0.081499316 0.19130147 0.32460356 0.2042736 0.08681682 0.0
12,0.70254695 0.012577289 0.0011450421 0.035532657 0.19725622 0.00061795925 9.087636e-05 0.0033624254 0.24702013 0.022537338 0.033242572 0.33460677 0.2582888 0.055380054 0.0020538059 0.0 0.049982 0.05463487 0.07406423 0.19994617 0.34098628 0.23342502 9.087636e-05 0.0
13,0.7471758 0.039655916 0.0011273421 0.018302731 0.15427345 0.004973568 0.0009018737 0.0076261377 0.19772254 0.051817946 0.07648685 0.270708 0.31131884 0.06164572 0.004297163 3.9788545e-05 0.12215083 0.07311808 0.107747376 0.22976558 0.30032393 0.13935274 0.001578279 0.0
20,0.7392532 0.0053236107 0.001052577 0.023237662 0.03461359 0.048236366 0.0031374893 0.020889606 0.24308458 0.014007372 0.22415844 0.31520635 0.07050242 0.008623036 0.00016193494 0.0 0.00046556295 0.010181659 0.045807343 0.14900038 0.26332644 0.37447453 0.032488197 0.0
21,0.8025425 0.034653097 0.0014542241 0.0027192808 0.0016906833 0.0030385007 0.0016552143 0.02695635 0.12090159 0.03706498 0.17481428 0.36561322 0.15361571 0.020619242 0.0019980802 8.276072e-05 0.10682044 0.08870767 0.08735985 0.17545272 0.26025882 0.15586208 0.00024828216 0.0
22,0.7592408 0.026195832 0.0017790477 0.035348903 0.046577528 0.008921022 0.00082506554 0.012814299 0.23545308 0.018460842 0.15210856 0.3569053 0.11467122 0.013317074 0.0006059075 0.0001804831 0.049117185 0.05393866 0.07938678 0.15491895 0.34895116 0.20538975 0.0 0.0
23,0.7543429 0.044751856 0.0052529243 0.01679151 0.051917255 0.009103369 0.0019889714 0.024772894 0.13947025 0.07440793 0.416103 0.22328754 0.053064737 0.0023969656 0.00019124725 0.0 0.122576736 0.092002675 0.10309502 0.2057183 0.30169892 0.08360055 0.0002294967 0.0
30,0.6648674 0.022924334 0.15601197 0.11050269 0.008885879 0.0002314031 0.0001696956 0.00058622117 0.30444935 0.0060781883 0.016661024 0.23575348 0.33647552 0.06365128 0.0011107349 0.0 0.004134402 0.01963841 0.084385 0.23948678 0.31254846 0.30394027 4.628062e-05 0.0
31,0.7075268 0.014832393 0.11211691 0.08994323 0.009571971 0.0002663505 4.9940718e-05 0.00073246384 0.2310757 0.0071415226 0.01619744 0.23558702 0.35900718 0.084016934 0.0020142756 0.0 0.0059262984 0.024820536 0.09162457 0.26110673 0.32016996 0.231392 0.0 0.0
32,0.69602686 0.014950573 0.120320566 0.09635353 0.009514001 0.00035192096 4.8540824e-05 0.00029124494 0.23731607 0.005363761 0.01356716 0.2603851 0.34954247 0.069486186 0.0021964721 0.0 0.0072932583 0.030338014 0.10460547 0.22310576 0.3715436 0.20097114 0.0 0.0
33,0.7361404 0.022711173 0.07034385 0.078942046 0.018367868 0.0017793181 0.00018787831 0.0009725465 0.18710469 0.014179287 0.027839145 0.2826795 0.3415296 0.07360409 0.002508728 0.0 0.030613113 0.06760304 0.111732334 0.25196692 0.326853 0.14067665 0.0 0.0
40,0.62984306 0.00077202416 4.289023e-05 0.012438167 0.30962458 0.0042032427 0.0011794814 0.01484002 0.33340722 0.011215796 0.03802219 0.22918396 0.3352944 0.025669804 0.00015011581 0.0 0.008406485 0.052626316 0.16013068 0.2605367 0.16849427 0.32240587 0.00034312185 0.0
41,0.73577124 0.01026526 0.0009430029 0.02915226 0.15555505 0.0062372903 0.0018725342 0.020570934 0.22062226 0.0333823 0.048052732 0.28486767 0.34430382 0.027616512 0.001522276 0.0 0.060917985 0.11671681 0.22015075 0.2642294 0.16220996 0.13614267 0.0 0.0
42,0.7315474 0.01399675 0.0010293694 0.033848874 0.1543653 0.005882111 0.0015240015 0.017980544 0.22433569 0.031201925 0.04521204 0.25577825 0.37098742 0.0315094 0.0011363169 1.3368433e-05 0.061254162 0.11860474 0.24246329 0.25609908 0.1371735 0.14457962 0.0 0.0
43,0.7360604 0.1370306 0.029266734 0.012031436 0.0038064057 0.002036294 0.00043920067 0.0069207377 0.18327977 0.03051779 0.038756132 0.22673401 0.39011666 0.05749536 0.0006920738 0.0 0.07512993 0.18599482 0.28767642 0.20812787 0.17066273 0.0 0.0 0.0
50,0.621988 0.27989912 0.049570657 0.0022792842 0.0021434329 0.0034717575 0.0009962434 0.005841609 0.3501192 0.015683288 0.15008558 0.3523532 0.090310976 0.0074869203 0.00015094598 0.0 0.002656649 0.018732395 0.04261205 0.16080275 0.27318203 0.37950838 0.088695854 0.0
51,0.67033935 0.2672794 0.0049689305 0.00069933094 0.002061186 0.0042941375 0.0011042068 0.004281868 0.284186 0.014293343 0.09590649 0.32694334 0.21335728 0.02024379 9.815171e-05 0.0 0.0034721168 0.033334773 0.08376022 0.22677952 0.24168631 0.34299114 0.023004306 0.0
52,0.67991084 0.24421395 0.011109241 0.0007448242 0.0018683724 0.004292207 0.0010730517 0.004557314 0.26721513 0.015047973 0.12885457 0.33631966 0.18696348 0.013280594 7.574483e-05 1.2624138e-05 0.0039008588 0.03553695 0.08931578 0.22577009 0.24329239 0.3493099 0.00061858277 2.5248277e-05
53,0.71320575 0.15131252 0.018566424 0.007509044 0.0005658156 0.00060417596 0.0003452434 0.011747866 0.21724442 0.023399832 0.15600207 0.39196634 0.10434982 0.009254442 0.0015344152 0.00010549104 0.021577712 0.082465224 0.18239401 0.2583092 0.35199484 0.00711585 0.0 0.0
60,0.73064965 0.09134197 0.04688532 0.03276116 0.004926231 0.004478392 0.00039616544 0.007682165 0.2011487 0.0538785 0.03407023 0.097439475 0.46580446 0.066418 0.0003617163 0.0 0.12186394 0.06111283 0.13800338 0.31738022 0.11533582 0.16542491 0.0 0.0
61,0.7382706 0.0625046 0.033136275 0.066954814 0.008032097 0.004822359 0.00066675706 0.0087763835 0.20886552 0.052410204 0.03940069 0.090803005 0.44961134 0.081809536 0.00023258966 3.1011954e-05 0.13629754 0.06852092 0.140081 0.3211598 0.10404511 0.15305951 0.0 0.0
62,0.7154045 0.15760238 0.03384615 0.039906755 0.005567765 0.004435564 0.0004528804 0.006633366 0.22552112 0.06480186 0.0409324 0.097329326 0.41005656 0.12454211 0.0006660006 0.0 0.17301364 0.075950705 0.16630036 0.3578288 0.11846819 0.0722877 0.0 0.0
70,0.7209186 0.027596073 0.0010196404 0.03902591 0.1765129 0.0033385 0.0011183153 0.009587908 0.22805408 0.031937767 0.106124826 0.3587983 0.21474941 0.038499646 0.0009538571 0.0 0.065717466 0.061046854 0.1001221 0.22718245 0.30760247 0.2040103 0.013436228 0.0
71,0.7352227 0.03743943 0.0024665259 0.045250095 0.15216334 0.0042935824 0.00056334236 0.012637139 0.22253546 0.04607227 0.10484258 0.3425274 0.23489854 0.03836818 0.00079172436 0.0 0.1032439 0.07289954 0.11240964 0.23677127 0.27676857 0.18648155 0.001461645 0.0
72,0.71253103 0.06041542 0.019835517 0.08989235 0.122808255 0.0064603603 0.0012404874 0.012625951 0.2728581 0.06034173 0.09217681 0.3265061 0.2364418 0.036404006 0.0010808207 0.0 0.13814853 0.071260475 0.12499446 0.26321667 0.29795033 0.12891243 0.0013264618 0.0
73,0.72462803 0.068787925 0.026884591 0.04577576 0.13151863 0.00605721 0.00129517 0.013409589 0.24438159 0.06778057 0.112575136 0.34959126 0.20847006 0.034616366 0.0009419419 0.0 0.13787675 0.07118203 0.11561029 0.26009372 0.28508133 0.13981296 0.00869988 0.0
80,0.6885888 0.027962917 0.0041623595 0.07532932 0.16629095 0.0038337521 0.0011735975 0.010656266 0.2710541 0.04157665 0.052248564 0.17835553 0.39262316 0.041467115 0.00067286263 0.0 0.061872065 0.053641234 0.14990753 0.3713732 0.18891792 0.15228602 0.0 0.0
81,0.6993407 0.02984186 0.008080033 0.055299096 0.1849169 0.00824134 0.00073321525 0.0124939885 0.25731456 0.040180195 0.049741324 0.20384851 0.38027477 0.065652095 0.0019356883 0.0 0.07578513 0.07352683 0.17849393 0.3349474 0.16878615 0.1674077 0.0 0.0
90,0.76848567 0.11210097 0.0077855433 0.002388046 0.0048780697 0.0021848236 0.00045926782 0.0072829896 0.19633259 0.16163732 0.11564892 0.40510282 0.025732936 0.0008620442 0.00020248868 4.6220244e-05 0.0018091924 0.066563755 0.06686455 0.14414553 0.16476344 0.2472651 0.187685 0.026468793
91,0.7767552 0.10737991 0.0013970946 0.00022837956 0.0009783987 0.0021436536 0.0004308069 0.008945731 0.2020761 0.14686017 0.11114212 0.4059559 0.030134855 0.0015484826 0.0002768237 0.00026471267 0.0065970547 0.06676901 0.06173601 0.1413782 0.16374122 0.22502999 0.19289163 0.04011608
92,0.7994899 0.0015667442 3.765835e-05 0.00076964253 0.0067671267 0.0022018366 0.00020202136 0.0035155637 0.0037179773 0.02300533 0.30382755 0.40550315 0.06426476 0.008773219 0.0026121556 0.0028463434 0.034743357 0.026978284 0.08737953 0.15001518 0.14014123 0.10550693 0.1337295 0.13605648
93,0.7083763 0.11700384 0.029813785 0.06861139 0.008848181 0.000391229 0.00024051478 0.005996542 0.23630232 0.025414186 0.109635174 0.5101425 0.032292407 0.01805682 0.0058094054 0.0016289696 0.032531038 0.04824739 0.071679056 0.11406994 0.15360981 0.19667955 0.24135877 0.08110623
