indice,vecteur
10,0.039123535156011205 0.06536865234335101 0.047546386718459795 0.10699462890559695 0.21362304687369613 0.15234374999907016 0.07458496093704477 0.07983398437451272 0.08654785156197176 0.13403320312418193
11,0.03894042968726232 0.057006835937152056 0.04290771484348811 0.11523437499929666 0.2419433593735233 0.1588745117177803 0.07574462890578769 0.06915283203082792 0.07965087890576385 0.12054443359301426
12,0.03625488281227872 0.06097412109337784 0.0426635742184896 0.1197509765617691 0.2237548828111343 0.1526489257803183 0.07653808593703285 0.07647705078078322 0.08892822265570723 0.1220092773430053
13,0.03637695312477797 0.05609130859340764 0.04681396484346427 0.11816406249927879 0.25787353515467604 0.16894531249896882 0.0655517578120999 0.06604003906209692 0.07513427734329141 0.10900878906183466
20,0.039123535156011205 0.061767578124622996 0.04455566406222805 0.11822509765552841 0.21405029296744352 0.15472412109280564 0.07794189453077428 0.0786743164057698 0.08422851562448591 0.12670898437422662
21,0.04028320312475413 0.06274414062461704 0.05017089843719378 0.12231445312425344 0.25695800781093164 0.15881347656153066 0.06274414062461704 0.07012939453082197 0.07080078124956786 0.10504150390560887
22,0.03936767578100972 0.06256103515586815 0.04974365234344639 0.11883544921802468 0.22796630859235859 0.1504516601553317 0.07122802734331525 0.07873535156201944 0.08428955078073554 0.11682128906178697
23,0.03833007812476605 0.059509277343386784 0.05255126953092925 0.12152099609300829 0.2528686523422066 0.16638183593648448 0.06732177734333909 0.06829833984333314 0.06970214843707456 0.10351562499936819
30,0.058532714843392744 0.07739257812452763 0.05273437499967813 0.09759521484315432 0.1593627929677773 0.12811279296796804 0.07318115234330333 0.0859985351557251 0.10870361328058652 0.15838623046778327
31,0.0513305664059367 0.06878662109333016 0.050109863280944154 0.11035156249932647 0.1802368164051499 0.14276123046787864 0.07861328124952018 0.08013916015576086 0.09381103515567742 0.14385986328037195
32,0.053466796874673664 0.06793212890583537 0.050659179687190796 0.11004638671807833 0.18328857421763128 0.12988281249920725 0.07336425781205222 0.07995605468701199 0.10540771484310664 0.1459960937491089
